,City & State,Year,Total Households,Less Than 10k,10k to 19k,20k to 34k,35k to 49k,50k to 74k,75k to 99k,100k or More,Team
102,"Minneapolis city, Minnesota",2017,80520,2291,3638,7678,8240,13799,12213,32661,Minnesota United FC
103,"San Jose city, California",2017,181122,3623,5836,10736,12344,21927,20422,106234,San Jose Earthquakes
104,"Kansas City city, Kansas",2017,30796,1443,2705,5612,5225,6530,4210,5071,Sporting Kansas City
105,"Foxborough CDP, Massachusetts",2017,990,0,36,64,109,206,166,409,New England Revolution
106,"Sandy city, Utah",2017,23020,354,591,1422,1876,4360,3737,10680,Real Salt Lake
107,"Washington city, District of Columbia",2017,112672,3783,3892,6207,7126,13328,12490,65846,D.C. United
108,"Houston city, Texas",2017,359118,14266,26017,43692,41572,61233,43856,128482,Houston Dynamo
109,"Bridgeview village, Illinois",2017,4009,158,316,657,540,967,588,783,Chicago Fire
110,"Chester city, Pennsylvania",2017,4331,399,504,854,793,914,464,403,Philadelphia Union
111,"Columbus city, Ohio",2017,152966,4736,8299,17339,21147,32882,25409,43154,Columbus Crew
112,"Commerce City city, Colorado",2017,10544,143,506,702,1213,2374,2183,3423,Colorado Rapids
113,"Frisco city, Texas",2017,36385,517,500,1113,1734,3096,3936,25489,FC Dallas
