Team,Year,Attendance,Pos,Pts,Age % 18 to 29,Age % 30 to 44,White Percentage,Black Percentage,Latino Percentage,Asian Percentage,less than 34k Percentage,34k to 99k Percentage,100k or more Percentage
D.C. United,2013,13646.0,3,58,25.245450626522715,23.450565170148423,40.06338688766506,50.13634800466925,9.603129626669638,3.5269652599169157,13.467182857657335,32.52633474385523,54.00648239848744
D.C. United,2014,17030.0,19,16,25.024931517224836,23.937570218513706,40.23047451935822,49.56922125301387,9.883768635520154,3.5953456959995957,13.15401356139499,31.50326444720229,55.34272199140272
D.C. United,2015,16244.0,3,59,24.623774487091573,24.434580622841644,40.20562670274478,48.87333123289533,10.162876611622835,3.679164272785119,12.613747228381374,30.752106430155212,56.634146341463406
D.C. United,2016,17081.0,8,51,24.195572442864968,24.86749042881053,40.36894792028637,48.34501501496945,10.486351476231736,3.6472946499971926,12.320718545867651,29.238852598693555,58.440428855438796
D.C. United,2017,17904.0,10,46,24.195572442864968,24.86749042881053,40.36894792028637,48.34501501496945,10.486351476231736,3.6472946499971926,12.320718545867651,29.238852598693555,58.440428855438796
FC Dallas,2012,14199.0,4,52,10.335716240251744,31.149952113832263,76.88295252428513,7.465966616500205,12.665891366808044,9.309584074428786,6.50586701434159,28.979791395045634,64.51434159061277
FC Dallas,2013,15373.0,13,39,10.22698786217381,30.0987360811237,76.75375819768242,7.116113954861196,12.562367078269169,10.307044144166,6.928075428425815,27.553035611900363,65.51888895967383
FC Dallas,2014,16816.0,15,44,9.990114866780589,29.528195618357227,74.12700480463452,7.557912321167212,13.122705921118168,11.70507053693898,6.06218890186198,25.450132120690718,68.4876789774473
FC Dallas,2015,16015.0,6,54,10.090930862065212,28.454175344891397,72.35643736801237,7.16706459502021,12.598968047199865,13.742679448754327,5.816857134463409,25.074179617497578,69.10896324803902
FC Dallas,2016,14094.0,2,60,9.260123861966687,27.77281902695577,71.18698762753526,7.569723850981146,11.894593740988423,15.201241366051935,5.854060739315652,24.09234574687371,70.05359351381064
FC Dallas,2017,15122.0,1,60,9.260123861966687,27.77281902695577,71.18698762753526,7.569723850981146,11.894593740988423,15.201241366051935,5.854060739315652,24.09234574687371,70.05359351381064
Houston Dynamo,2012,21015.0,6,49,20.098185056910037,22.44196656716248,57.30098332154182,23.59914759503077,43.518633191123484,6.142971905844459,25.122177805303757,43.08991610832724,31.787906086369013
Houston Dynamo,2013,19923.0,9,53,20.02654228425728,22.500980228199936,57.90448056805923,23.473338495634298,43.61975671602707,6.245634646815699,25.437100153101362,42.01208457510848,32.55081527179016
Houston Dynamo,2014,20117.0,9,51,19.967361442960016,22.57775412041026,57.75991380026089,23.284077218139583,43.888296429685035,6.301879899704242,24.750402895751257,41.61679445094302,33.632802653305724
